"_time","metric_name:st_generator_mw","Tag"
8/31/19 13:50,121.9,1STG-GA03124
8/31/19 13:45,121.92,1STG-GA03124
8/31/19 13:40,122.12,1STG-GA03124
8/31/19 13:35,122.12,1STG-GA03124
8/31/19 13:30,122.12,1STG-GA03124
8/31/19 13:25,122.12,1STG-GA03124
8/31/19 13:20,122.17,1STG-GA03124
8/31/19 13:15,121.77,1STG-GA03124
8/31/19 13:10,121.77,1STG-GA03124
8/31/19 13:05,121.12,1STG-GA03124
8/31/19 13:00,121.12,1STG-GA03124
8/31/19 12:55,121.12,1STG-GA03124
8/31/19 12:50,120.18,1STG-GA03124
8/31/19 12:45,120.18,1STG-GA03124
8/31/19 12:40,120.18,1STG-GA03124
8/31/19 12:35,120.12,1STG-GA03124
8/31/19 12:30,120.12,1STG-GA03124
8/31/19 12:25,120.12,1STG-GA03124
8/31/19 12:20,120.12,1STG-GA03124
8/31/19 12:15,117.41,1STG-GA03124
8/31/19 12:10,86.485,1STG-GA03124
8/31/19 12:05,86.485,1STG-GA03124
8/31/19 12:00,84.921,1STG-GA03124
8/31/19 11:55,84.921,1STG-GA03124
8/31/19 11:50,84.921,1STG-GA03124
8/31/19 11:45,84.921,1STG-GA03124
8/31/19 11:40,84.787,1STG-GA03124
8/31/19 11:35,84.787,1STG-GA03124
8/31/19 11:30,84.787,1STG-GA03124
8/31/19 11:25,84.787,1STG-GA03124
8/31/19 11:20,87.198,1STG-GA03124
8/31/19 11:15,87.198,1STG-GA03124
8/31/19 11:10,87.105,1STG-GA03124
8/31/19 11:05,87.105,1STG-GA03124
8/31/19 11:00,87.105,1STG-GA03124
8/31/19 10:55,87.438,1STG-GA03124
8/31/19 10:50,87.281,1STG-GA03124
8/31/19 10:45,87.281,1STG-GA03124
8/31/19 10:40,87.281,1STG-GA03124
8/31/19 10:35,87.417,1STG-GA03124
8/31/19 10:30,87.417,1STG-GA03124
8/31/19 10:25,87.417,1STG-GA03124
8/31/19 10:20,87.417,1STG-GA03124
8/31/19 10:15,87.715,1STG-GA03124
8/31/19 10:10,87.715,1STG-GA03124
8/31/19 10:05,87.715,1STG-GA03124
8/31/19 10:00,87.849,1STG-GA03124
8/31/19 9:55,87.849,1STG-GA03124
8/31/19 9:50,87.849,1STG-GA03124
8/31/19 9:45,87.849,1STG-GA03124
8/31/19 9:40,87.973,1STG-GA03124
8/31/19 9:35,87.973,1STG-GA03124
8/31/19 9:30,88.133,1STG-GA03124
8/31/19 9:25,88.133,1STG-GA03124
8/31/19 9:20,88.133,1STG-GA03124
8/31/19 9:15,88.133,1STG-GA03124
8/31/19 9:10,88.133,1STG-GA03124
8/31/19 9:05,88.347,1STG-GA03124
8/31/19 9:00,88.18,1STG-GA03124
8/31/19 8:55,88.18,1STG-GA03124
8/31/19 8:50,88.255,1STG-GA03124
8/31/19 8:45,88.255,1STG-GA03124
8/31/19 8:40,88.255,1STG-GA03124
8/31/19 8:35,88.368,1STG-GA03124
8/31/19 8:30,88.368,1STG-GA03124
8/31/19 8:25,88.368,1STG-GA03124
8/31/19 8:20,88.589,1STG-GA03124
8/31/19 8:15,88.451,1STG-GA03124
8/31/19 8:10,88.451,1STG-GA03124
8/31/19 8:05,88.602,1STG-GA03124
8/31/19 8:00,88.602,1STG-GA03124
8/31/19 7:55,88.602,1STG-GA03124
8/31/19 7:50,88.786,1STG-GA03124
8/31/19 7:45,88.786,1STG-GA03124
8/31/19 7:40,88.786,1STG-GA03124
8/31/19 7:35,89.044,1STG-GA03124
8/31/19 7:30,89.044,1STG-GA03124
8/31/19 7:25,89.044,1STG-GA03124
8/31/19 7:20,89.044,1STG-GA03124
8/31/19 7:15,89.135,1STG-GA03124
8/31/19 7:10,89.135,1STG-GA03124
8/31/19 7:05,88.606,1STG-GA03124
8/31/19 7:00,88.606,1STG-GA03124
8/31/19 6:55,88.606,1STG-GA03124
8/31/19 6:50,88.531,1STG-GA03124
8/31/19 6:45,88.531,1STG-GA03124
8/31/19 6:40,88.719,1STG-GA03124
8/31/19 6:35,88.719,1STG-GA03124
8/31/19 6:30,88.682,1STG-GA03124
8/31/19 6:25,88.653,1STG-GA03124
8/31/19 6:20,88.653,1STG-GA03124
8/31/19 6:15,88.653,1STG-GA03124
8/31/19 6:10,88.759,1STG-GA03124
8/31/19 6:05,88.759,1STG-GA03124
8/31/19 6:00,88.759,1STG-GA03124
8/31/19 5:55,89.029,1STG-GA03124
8/31/19 5:50,89.029,1STG-GA03124
8/31/19 5:45,89.029,1STG-GA03124
8/31/19 5:40,88.703,1STG-GA03124
8/31/19 5:35,88.703,1STG-GA03124
8/31/19 5:30,88.703,1STG-GA03124
8/31/19 5:25,88.707,1STG-GA03124
8/31/19 5:20,88.707,1STG-GA03124
8/31/19 5:15,88.707,1STG-GA03124
8/31/19 5:10,88.748,1STG-GA03124
8/31/19 5:05,88.717,1STG-GA03124
8/31/19 5:00,88.717,1STG-GA03124
8/31/19 4:55,88.717,1STG-GA03124
8/31/19 4:50,88.887,1STG-GA03124
8/31/19 4:45,88.887,1STG-GA03124
8/31/19 4:40,88.887,1STG-GA03124
8/31/19 4:35,88.556,1STG-GA03124
